,title,date,content,verified_product,rating
0,ANDISAMY C,2021-09-11,"கேமரா வேஸ்ட் .தயவு செய்து பணத்தை வேஸ்ட் பன்னாதீங்க
போட்டோவை பாத்து ஏமாறாதீங்க",Verified Purchase,1
1,RATHOD VIRENDRASINH,2021-09-07," Bad results of camera it is accepted. But now camera not working. Vivo Y33s..... Please action to replace this peace / alternate immediately.
Thanks - 16/11/21",Verified Purchase,4
2,Karthick,2021-08-30,"Camera quality is good, while on the flash light camera performance is very slow. Light weight and compact phone. Black color is looks great. Phone sounds is also gently given. I like this phone...",Verified Purchase,4
3,Amz Customer,2021-10-20,"Vivo Y33s is my 4th Vivo mobile, n m utterly disappointed with it, all the useful features have been removed in this model. Within 1 week I've had touch screen issues, doesn't connect to WiFi or mobile internet, doesn't detect SD card, shows 128 GB storage, but doesn't save any files, worst of all is the front camera, images are not the best, I regret buying this mobile",Verified Purchase,1
4,Nirmal,2021-10-03,"This is a value for money product, massive data space , No Lag , performance , large and high resolution screen for price and charging speed and finish of product is very good as well been using it for for 1.5 months no deterioration in quality observed extremely statisfied by the product,",Verified Purchase,5
5,Vijay Shinde,2021-10-15,"same supplier refuse me delivery in my pincoode 400703 location amazon no control on supplier
Lot of bugs in software difficult to configure Bluetooth with other device",Verified Purchase,1
6,Amazon Customer,2021-09-23,"TooPros- 1. Slim & sleek design
2. Better front camera
3.Good battery life, one day for your daily activity
4. Good sound quality - surround sound
Cons-
1. Needs more improvement in fast charging as only 18 watt fast charging given, can charge phone in 1.5 hrs
2.Needs quad camera as triple camera given in back side (picture quality in rear camera was not good)
3.Littlebit handy
4. Needs Amoled display at this price range as lcd display is given
5. Needs atleast 90 hz refresh rate as it supports only 60 hz",Verified Purchase,4
7,Akhil,2021-09-13,Camera is very bad worst,Verified Purchase,3
8,MH 24,2021-09-22,"Best Camera, plz first settings camera always best performance
Battery backup best
Vivo always best",Verified Purchase,5
9,Bobby Naidu,2021-09-18,Good 8gb ram varient at this price. Only draw back is the heating issue while gaming.,Verified Purchase,4
10,Abbas Shaikh,2021-12-07,"All in all after using for one week, battery life is pretty good which was my priority.
Light weight.
Cameras both rear and front are good although I miss wide angle selfie option.
Ram usage is optimum.
Fast charging works well
Trusted brand like Vivo has done well.
Only thing I hated was the charger is not working since day one, maybe it's seller's fault or mixup. Otherwise it's good.",Verified Purchase,4
11,Naquib,2021-12-22,"Delivered fast as always. Camera quality is good as expected, need to adjust settings for better images. Battery life is good, though could have been better. Latest Android version makes things easier. Screen resolution is also good. Fast charging should have been better, heats up normally when charging or playing games. RAM size is amazing as must have at least 8GB nowadays. Didn't find any flaws or cons so far. Overall its a good feature phone under 20K.",Verified Purchase,4
12,Leela,2021-08-23,"Worst quality no incoming and out going calls fully failure model..fully network issue ,don't even buy...and waste money ..vivo is no more vivo ..",,1
13,s p singh,2021-10-26,"Nice product, great camera, delightful experience overall but cost is little high",Verified Purchase,5
14,Ajay,2021-09-27,At this price this is not worthy to buy bcz camera quality is not up to the mark campare to other brand at this range.,Verified Purchase,3
15,sachin b.,2021-12-30,"I bought this phone recently . I am wiritng my feedback after using for 7 days. My main use for the phone is camera and normal usages.

Pro: Good camera in this price segment .
Light wieght and sleek design
good user interface

Con: No WoFI calling
No NFC
NO IR
LTE only Cat 6 supported which means highest downloading speed can be 300 Mbps. Compittiors phone have Cat 20 LTE supported in the same price segment.",Verified Purchase,4
16,anil kumar,2021-10-25,"Respoding very slow , I cleaned memory too,don't buy for photography worst quality of photos ,",Verified Purchase,1
17,Aijaz,2021-12-29,"Defective mobile vivoy33s
delivered by Amazon which speaker is not working. Worst mobile deliver in 17990. I have wasted money. Worst Amazon. Not responded to me . I tried within 7 days to return this mobile . They did not responded. I also called customer care they are also not responded to this issue. They kept quite. I have wasted money It is with me in no use condition. Please trust me and don't buy from Amazon.",Verified Purchase,1
18,sai,2021-11-10,"Utterly disappointed ,waste mobile ,it is not worth at this price . please don't buy it's my humble request to everyone",Verified Purchase,1
19,satyam,2021-12-12,"Back side looks so beautiful . Midd day dream color is unique . Camera design makes this model premium in look.
Battery performance is good and enough for 2 to 3 days in normal use .
Only the bad thing is weight . This looks a bit heavy.",Verified Purchase,5
20,Ashok Panwar,2021-11-08,इस फोन में फास्ट चार्ज कि सुविधा नहीं ओर चार्जर खराब हो जाता है मेरे दो फोन था दोनो का खराब हो गया,Verified Purchase,3
21,Prathap reddy,2021-09-23,I bought this before 2weeks upto now it's working very fine battery backup and working very fine nice phone,Verified Purchase,5
22,Hanif Bokda,2021-11-23,price slidely high... otherwise very good product,Verified Purchase,5
23,Amazon Customer,2022-01-03,"For some reason getting ads all the time.
Vivo native apps can't be disabled. It has all kinds of wrong practices. I regret buying this phone for my father",Verified Purchase,1
24,Mukesh,2021-09-17,Its display quality is very poor.,Verified Purchase,2
25,Pavan,2021-10-03,Camera clarity very poor,Verified Purchase,2
26,Parth Singh,2021-10-03,Phone hangs within 8 days of purchase I haven't loaded data yet . It is the worst phone ever I want refund .,Verified Purchase,1
27,Nafees Roshan,2021-11-07,Not upto expectations... Battery charger is not so good taking longer time to get fully charged almost one and half hours.. it's only 18 w charger. Very disappointed..,Verified Purchase,2
28,Leela,2022-01-26,"It started problem right after the return date
1) the volume gets stuck on a certain lvl and even if I increase or decrease it doesn't change
2)icon tapping sound keeps on making tapping notices even if ur not tapping anything even if it's in sleep mode",Verified Purchase,1
29,MUKESH KUMAR,2021-10-20,Phone is Heating and battery draining rapidily. Camera quality is very poor.,Verified Purchase,1
30,Baskaran,2021-12-07,"i have received only mobile, but i dit not get joy stick.",Verified Purchase,4
31,shankar,2021-09-11,i like this product,Verified Purchase,5
32,Sarfuddin khan,2022-01-05,Wifi doesn't work smoothly.. in other basic phone wifi works so fine. Ringing time also doesn't ring properly. In headphone it doesn't ring,Verified Purchase,1
33,Rajarajan A,2021-12-03,Nice mobile want use now if I have any issues surely updated,Verified Purchase,4
34,ugandhar,2021-12-07,"Play store app is not working, unable to download any other apps ,apart from apps available in the mobile",Verified Purchase,1
35,Poongundran,2021-12-08,Only 1 month I used this product next month this product fully hang I'm not install any game,Verified Purchase,1
36,Navin kochar,2021-12-16,Please don't buy this phone.its waste of money.sound is not coming properly and camera is also waste,Verified Purchase,1
37,P.G. Kulkarni,2022-03-05,Superb features. Value for money.,Verified Purchase,5
38,Purchaser,2022-01-28,You get extra for what you pay. Cannot ask for more under this price.,Verified Purchase,5
39,Roopas,2021-10-20,"It's not value for money, waste for gaming , light weight ok , fingerprint sensor doesn't work properly",Verified Purchase,2
40,Rajiv kohli,2021-12-01,"Good phone
Decent gaming
Nice battery life
Good 4am management
Camera is also great
Overall decent phone at this price",Verified Purchase,5
41,Sandeep88,2021-11-06,Camera quality not good comparing other vivo mobile same prize veriyent,Verified Purchase,1
42,Bhammar Raghubhai,2021-12-13," very good looking and light weight...
but call recording system is very bad. i hop next update in do problem solw ..",Verified Purchase,5
43,Samsuddin,2021-12-14,Phone is very slow working,Verified Purchase,1
44,Saivenki,2022-01-17,Wonderful,Verified Purchase,5
45,raghvendra rawat,2021-12-22,"Item is not working properly ,hang problem, contact number is not showing.",Verified Purchase,1
46,Jitender Singh,2021-09-12,Nice 👍,Verified Purchase,5
47,Vishal,2021-12-22,Very nice mobile vivo y33s light wait fast working nd good battery pickup vivo company is allwayss good product launch,Verified Purchase,5
48,Shuvo,2022-02-03,Better than redmi...,Verified Purchase,5
49,karthik,2021-11-10,Ok,Verified Purchase,4
50,josephraj,2022-02-10,Superb product,Verified Purchase,5
51,Champu,2021-12-13,"Vivo is a good mobile. Also cool to operate, limited and battery service is also very good I like vivo",Verified Purchase,5
52,Sridhar,2022-02-09,Warest phone. I purchased just three months ago. Micro phone no work. new mobile three months k repair vachindi worest phone,Verified Purchase,2
53,prasenjit sinha,2021-11-13,Good 👍,Verified Purchase,5
54,Pooranchandra Rajput,2022-02-01,Camera quality is not cristal clear. As I expected 😴,Verified Purchase,3
55,prabhakar m,2021-12-18,"Don't buy this my old Vivo battery, sound and display is better than this... Wast of money",Verified Purchase,1
56,Raju,2021-11-01,Worst mobile don’t buy it it is ver slow and in 10 days mobile is not working and returning policy is closed don’t waste ure money,Verified Purchase,1
57,Gobardhan,2022-02-22,value of the moeny,Verified Purchase,5
58,Tulasiram Goli,2022-02-06,Good,Verified Purchase,5
59,Yogesh Sure,2022-01-12,"Quality not satisfactory, slow performance , not satisfactory compare price",Verified Purchase,2
60,Dongaonkar G.,2021-12-06, Updates are not available like how much data consume by you,Verified Purchase,3
61,Balaram,2021-11-09,Valu of money nice phone,Verified Purchase,4
62,H MANJANNA,2021-12-28,,Verified Purchase,5
63,Veterans konda,2022-01-10,Good,Verified Purchase,5
64,Naitik Panchal,2022-01-02," I got only mobile, not gamestick...",Verified Purchase,1
65,Ritesh Satapathy,2022-02-28,Sab thik hai bs iska slow motion maza ni aa rha h.,Verified Purchase,5
66,BHAVDIP VAGHASIYA,2021-12-03,Good phone,Verified Purchase,5
67,V.R.Nagarajan,2021-12-01,"Not so good, but not so bad. This is an average model phone.",Verified Purchase,3
68,Rajesh,2022-01-13,Good model with good battery backup and good camera,Verified Purchase,5
69,Shubham Rathore,2021-11-09,Like it,Verified Purchase,4
70,Hemant,2021-10-17,Very happy with the phone. No complaints. Excellent performance,Verified Purchase,5
71,senthil,2021-11-16,Like phone,Verified Purchase,5
72,rahul,2021-11-13,Nice,Verified Purchase,4
73,bibha neog,2021-12-29,I ordered the phone with offer. But received without offer and charging the amount with offer.,Verified Purchase,3
74,Ganesh m k,2021-11-18,good product,Verified Purchase,4
75,Gopalakrisnan,2021-12-25,Nice product looks stylish and camera 📷 is nice and battery 🔋 Back up excellent,Verified Purchase,5
76,Felicia,2022-03-08,Nice,Verified Purchase,5
77,Vemanna,2022-01-31,Worsted product from Vivo and Amazon mobile hanging can't request to exchange also,Verified Purchase,1
78,Tara chand,2022-02-07,Jostick मोबाईल के साथ आता हे लेकिन मेरे नही आया क्यू नही आया जान सकता हूं,Verified Purchase,5
79,Aasma Khatoon,2022-01-29,This in not value of money also camera is worst,Verified Purchase,1
80,Veerababu,2022-02-06,,Verified Purchase,1
81,ARAVIND,2021-11-19,Good one,Verified Purchase,5
82,Sonali S.,2021-09-28,Very nice mobile,Verified Purchase,5
83,Aliya,2022-01-01,"Best quality of product, camera, fingerprint reader it's worth it ✨😁💜",Verified Purchase,5
84,Shah imran ahemad abdul karim,2022-01-11,Very nice mobali,Verified Purchase,5
85,Jahangeer Alam,2021-09-05,Good luck,Verified Purchase,5
86,ABDUL KAREEM,2022-01-04,Good,Verified Purchase,5
87,Lalit Pal Singh,2021-11-13,Awesome mobile with this range,Verified Purchase,5
88,Gajendra,2022-01-11,battery life is good,Verified Purchase,5
89,Anshu Das,2021-11-26,Very nice 👍,Verified Purchase,5
90,Harveer singh,2022-01-03,Good,Verified Purchase,4
91,Valentina,2021-12-01,good phone,Verified Purchase,4
92,Harveer singh,2021-12-13,Very good,Verified Purchase,4
93,Sundar B,2022-01-17,Phone is very slow and hanging... Unexpected from vivo,Verified Purchase,1
94,Barun meher,2021-12-06,Ek number pic,Verified Purchase,4
95,Satyendra Singh,2022-02-06,Good phone but screen not as think,Verified Purchase,4
96,Anshu Kr Pandey,2021-11-13,Ok,Verified Purchase,5
97,Vinodkumar,2022-03-16,Good,Verified Purchase,4
